1a. open (CNY),1b. open (USD),2a. high (CNY),2b. high (USD),3a. low (CNY),3b. low (USD),4a. close (CNY),4b. close (USD),5. volume,6. market cap (USD),fecha
57684.25000000,9105.21206573,57704.71000000,9110.16719029,55919.74309254,8860.95948098,55919.74309254,8860.95948098,112.74020759,998986.41133183,20180323
58664.19000000,9279.81239224,58929.86000000,9321.91120989,57647.41000000,9099.10977823,57684.25000000,9105.21206573,177.79215044,1618835.23337783,20180322
55825.27319293,8816.51213584,58666.34000000,9280.15249063,55825.27319293,8813.87496733,58663.46000000,9279.69691697,106.23572133,985835.29569793,20180321
53998.66327823,8527.76539825,55867.51888105,8823.18401760,53998.66327823,8526.57453597,55825.27319293,8816.51213584,138.73674958,1223174.23635916,20180320
51024.47698881,8051.07248624,53998.41763333,8527.72660465,51013.28368135,8037.17394864,53998.41763333,8527.72660465,174.23447268,1485823.94812114,20180319
52110.41796753,8230.21321112,52110.41796753,8230.21321112,49451.33299572,7810.24274997,51027.98709407,8051.62634027,113.97458016,917680.73173694,20180318
54338.85375239,8582.16781736,54341.98866510,8582.66293908,52091.79820078,8227.27244311,52111.03721847,8230.31101435,94.69373239,779358.86867955,20180317
53286.55883707,8428.88353771,54342.65056034,8582.76747747,52845.06365214,8352.21015577,54338.85375239,8582.16781736,117.46526771,1008106.64019814,20180316
56607.91197394,8959.92528751,56974.06000000,9027.73886864,53218.48326389,8417.44958622,53286.55883707,8428.88353771,157.73195549,1329504.28300088,20180315
59730.62061305,9445.44306986,60145.36000000,9520.73829009,56453.01029465,8936.68043290,56608.74042729,8960.05641547,147.13860155,1318370.17078107,20180314
61341.17466260,9690.16621186,61785.24491778,9768.26372987,59691.25436803,9438.84477673,59730.46704157,9445.41878499,114.04262428,1077180.34566369,20180313
59298.99864834,9366.00676770,62408.61239643,9859.99197736,59298.99864834,9366.00676770,61344.37383634,9690.67159059,141.82081805,1374338.97243158,20180312
59395.63701871,9381.25257746,59518.57347483,9403.04160216,57337.70304405,9056.21189479,59298.99864834,9366.00676770,104.22190036,976143.02411426,20180311
58691.22360088,9269.99389714,60454.71112360,9548.52819188,58507.68602281,9241.00502752,59398.57410629,9381.71647619,105.69179367,991570.44207175,20180310
63783.84204793,10056.10172919,63783.84204793,10056.10172919,58044.62361215,9165.23566803,58698.45618109,9271.13624808,161.16443343,1494177.42067392,20180309
67324.33061071,10643.65810487,67324.33061071,10643.65810487,63650.12640622,10037.23569026,63784.63844537,10056.22728848,123.53019497,1242247.71760850,20180308
70654.70525060,11197.22898537,71074.07340431,11264.07705542,66708.00764453,10545.88690926,67324.25830230,10643.64667325,143.22526531,1524439.11864202,20180307
74120.48725672,11671.99749314,74123.38329005,11678.99354533,70581.96572932,11185.70135854,70659.84330876,11198.04325547,130.58674550,1462316.02470015,20180306
73259.11156508,11532.87232220,74322.04351845,11703.70589082,73136.03445665,11525.65352717,74119.41045504,11671.82792563,145.36757694,1696705.34400910,20180305
